[19.193878007456544, 4.459225026152636, 5e+33]
[59.908259573346996, -220.7605194818836, 5e+33]
[60.00907613722443, -221.3182064682844, 5e+33]
[59.908259573346996, -220.7605194818836, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.52050355843375, -218.61556953418804, 5e+33]
[59.42744211485457, -218.10078154674108, 5e+33]
[59.42744211485457, -218.10078154674108, 5e+33]
[59.42744211485457, -218.10078154674108, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.52050355843375, -218.61556953418804, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.42744211485457, -218.10078154674108, 5e+33]
[59.326625550977134, -217.54309456034025, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.52050355843375, -218.61556953418804, 5e+33]
[59.52050355843375, -218.61556953418804, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.52050355843375, -218.61556953418804, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.326625550977134, -217.54309456034025, 5e+33]
[59.23356410739795, -217.02830657289329, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.908259573346996, -220.7605194818836, 5e+33]
[59.908259573346996, -220.7605194818836, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.42744211485457, -218.10078154674108, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.52050355843375, -218.61556953418804, 5e+33]
[59.42744211485457, -218.10078154674108, 5e+33]
[59.6213201223112, -219.17325652058884, 5e+33]
[59.815198129767815, -220.24573149443663, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
[59.71438156589038, -219.6880445080358, 5e+33]
