Input data of 'lab1200LB_8':

Start Time: 2016-12-14 14:27:23
Base: [('0Z', '260.25')]
[-0.37000000000000455], 1481722043.26
[-139.38], 1481722044.27
[-139.25], 1481722044.78
[-139.13], 1481722045.28
[-139.13], 1481722045.79
[-139.13], 1481722046.29
[-139.38], 1481722046.79
[-139.25], 1481722047.3
[-139.13], 1481722047.8
[-139.38], 1481722048.31
[-139.38], 1481722048.81
[-139.25], 1481722049.32
[-139.25], 1481722049.82
[-139.13], 1481722050.33
[-139.13], 1481722050.83
[-139.13], 1481722051.34
[-139.25], 1481722051.84
[-139.5], 1481722052.34
[-139.25], 1481722052.85
[-139.13], 1481722053.35
[-139.25], 1481722053.86
[-139.25], 1481722054.36
[-139.5], 1481722054.87
[-139.5], 1481722055.37
[-139.38], 1481722055.88
[-139.38], 1481722056.38
[-139.25], 1481722056.88
[-139.38], 1481722057.39
[-139.38], 1481722057.89
[-139.25], 1481722058.4
[-139.25], 1481722058.9
[-139.38], 1481722059.41
[-139.38], 1481722059.91
[-139.25], 1481722060.41
[-139.25], 1481722060.92
[-139.25], 1481722061.42
[-139.25], 1481722061.93
[-139.25], 1481722062.43
[-139.25], 1481722062.94
[-139.13], 1481722063.44
[-139.13], 1481722063.94
[-139.25], 1481722064.45
[-139.25], 1481722064.95
[-139.0], 1481722065.46
[-139.0], 1481722065.96
[-139.25], 1481722066.47
[-139.13], 1481722066.98
[-139.13], 1481722067.48
[-139.25], 1481722067.98
[-139.25], 1481722068.49
[-139.38], 1481722068.99
[-139.5], 1481722069.5
[-139.38], 1481722070.0
[-139.5], 1481722070.51
[-139.5], 1481722071.01
[-139.38], 1481722071.52
[-139.38], 1481722073.52
[-139.25], 1481722074.03
