[18.99999999999999, 215.73629999999994, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.567902357994044, 107.49253452628435, 5e+33]
[-0.588438624293706, 107.37893406199451, 5e+33]
[-0.567902357994044, 107.49253452628435, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.567902357994044, 107.49253452628435, 5e+33]
[-0.567902357994044, 107.49253452628435, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.567902357994044, 107.49253452628435, 5e+33]
[-0.567902357994044, 107.49253452628435, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.567902357994044, 107.49253452628435, 5e+33]
[-0.567902357994044, 107.49253452628435, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.567902357994044, 107.49253452628435, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.588438624293706, 107.37893406199451, 5e+33]
[-0.588438624293706, 107.37893406199451, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5284095381870002, 107.71099695761097, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
[-0.5489458044866623, 107.59739649332113, 5e+33]
