Input data of 'lab1200LA_5':

Start Time: 2016-12-14 14:19:23
Base: [('0Z', '261.75')]
[0.0], 1481721563.7
[-123.75], 1481721564.7
[-123.75], 1481721565.21
[-123.87], 1481721565.71
[-124.0], 1481721566.22
[-123.87], 1481721566.72
[-123.75], 1481721567.23
[-123.75], 1481721567.73
[-123.87], 1481721568.23
[-123.87], 1481721568.74
[-123.75], 1481721569.24
[-123.87], 1481721569.75
[-123.87], 1481721570.25
[-123.75], 1481721570.76
[-123.75], 1481721571.26
[-123.87], 1481721571.77
[-123.87], 1481721572.27
[-123.75], 1481721572.78
[-123.75], 1481721573.28
[-123.75], 1481721573.79
[-123.75], 1481721574.29
[-123.75], 1481721574.79
[-123.75], 1481721575.3
[-123.75], 1481721575.8
[-123.75], 1481721576.31
[-123.62], 1481721576.81
[-123.62], 1481721577.32
[-123.75], 1481721577.82
[-123.75], 1481721578.33
[-123.75], 1481721578.83
[-123.75], 1481721579.33
[-123.75], 1481721579.84
[-123.75], 1481721580.34
[-123.75], 1481721580.85
[-123.75], 1481721581.35
[-123.75], 1481721581.86
[-123.62], 1481721582.36
[-123.62], 1481721582.87
[-123.62], 1481721583.37
[-123.62], 1481721583.87
[-123.62], 1481721584.38
[-123.62], 1481721584.88
[-123.75], 1481721585.39
[-123.75], 1481721585.89
[-123.75], 1481721586.4
[-123.75], 1481721586.9
[-123.75], 1481721587.41
[-123.87], 1481721587.91
[-123.75], 1481721588.41
[-123.62], 1481721588.92
[-123.75], 1481721589.42
[-123.75], 1481721589.93
[-123.75], 1481721590.43
[-123.75], 1481721590.94
[-124.0], 1481721591.44
[-124.0], 1481721591.94
[-123.62], 1481721592.45
[-123.62], 1481721592.95
[-123.75], 1481721593.46
[-123.75], 1481721593.96
[-123.75], 1481721594.46
[-123.75], 1481721594.97
[-123.75], 1481721595.47
[-123.75], 1481721595.98
[-123.75], 1481721596.48
[-123.75], 1481721596.99
[-123.75], 1481721597.49
