[24.323823820179708, 162.29540870000014, 287.32368106549734]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.309158957226293, 128.28183613037052, 173.86676653527107]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.309158957226293, 128.28183613037052, 173.86676653527107]
[8.309158957226293, 128.28183613037052, 173.86676653527107]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.366711838930287, 128.40407278878217, 174.2745035960424]
[8.366711838930287, 128.40407278878217, 174.2745035960424]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.35174808968725, 128.37229125759515, 174.16849196024188]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.309158957226293, 128.28183613037052, 173.86676653527107]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.309158957226293, 128.28183613037052, 173.86676653527107]
[8.309158957226293, 128.28183613037052, 173.86676653527107]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.322971648835253, 128.3111729283893, 173.9646234298562]
[8.33793539807829, 128.34295445957633, 174.07063506565675]
