Input data of 'lab500A_2':

Start Time: 2016-12-14 13:14:46
Base: [('0Z', '373.50')]
[0.0], 1481717686.49
[-26.0], 1481717687.49
[-26.0], 1481717688.0
[-25.620000000000005], 1481717688.5
[-25.620000000000005], 1481717689.01
[-25.5], 1481717690.51
[-25.75], 1481717691.02
[-25.75], 1481717691.52
[-25.25], 1481717692.03
[-25.370000000000005], 1481717692.53
[-25.870000000000005], 1481717693.04
[-25.620000000000005], 1481717693.54
[-25.25], 1481717694.05
[-25.5], 1481717694.55
[-25.370000000000005], 1481717695.06
[-25.620000000000005], 1481717695.56
[-26.0], 1481717696.07
[-25.870000000000005], 1481717696.57
[-26.0], 1481717697.07
[-25.870000000000005], 1481717697.58
[-25.870000000000005], 1481717698.08
[-25.870000000000005], 1481717698.59
[-25.870000000000005], 1481717699.09
[-26.0], 1481717699.6
[-25.75], 1481717700.1
[-25.370000000000005], 1481717700.61
[-25.620000000000005], 1481717701.11
[-25.75], 1481717701.62
[-25.75], 1481717702.12
[-25.5], 1481717702.62
[-25.620000000000005], 1481717703.13
[-25.370000000000005], 1481717704.64
[-25.370000000000005], 1481717705.14
[-25.370000000000005], 1481717705.65
[-25.25], 1481717706.15
[-25.25], 1481717706.65
[-25.5], 1481717707.16
[-25.370000000000005], 1481717707.66
[-25.25], 1481717708.17
[-25.25], 1481717708.67
[-25.75], 1481717709.18
[-26.0], 1481717709.68
[-25.5], 1481717710.19
[-25.25], 1481717710.69
[-25.870000000000005], 1481717711.2
[-26.0], 1481717711.7
[-25.75], 1481717712.21
[-25.75], 1481717712.71
[-25.620000000000005], 1481717713.22
[-25.620000000000005], 1481717713.72
[-25.620000000000005], 1481717714.22
[-25.75], 1481717714.73
[-25.75], 1481717715.23
[-25.5], 1481717715.74
[-25.25], 1481717716.24
[-25.25], 1481717716.75
[-25.370000000000005], 1481717717.25
[-25.870000000000005], 1481717717.76
[-25.120000000000005], 1481717719.26
[-25.620000000000005], 1481717719.77
[-25.620000000000005], 1481717720.27
[-25.620000000000005], 1481717720.78
[-25.75], 1481717721.28
[-25.870000000000005], 1481717721.79
[-25.870000000000005], 1481717722.29
[-25.5], 1481717722.8
[-25.75], 1481717723.3
[-26.0], 1481717723.81
[-25.5], 1481717724.31
[-25.25], 1481717724.81
[-25.5], 1481717725.32
[-25.370000000000005], 1481717725.82
[-25.120000000000005], 1481717726.33
[-25.0], 1481717726.83
[-25.25], 1481717727.34
[-25.75], 1481717727.84
[-25.370000000000005], 1481717728.35
[-25.370000000000005], 1481717728.85
[-25.75], 1481717729.36
[-25.75], 1481717729.86
[-25.75], 1481717730.36
[-25.620000000000005], 1481717730.87
[-25.370000000000005], 1481717731.37
[-25.5], 1481717731.88
[-25.620000000000005], 1481717732.88
[-25.0], 1481717733.38
[-25.120000000000005], 1481717733.89
[-25.870000000000005], 1481717734.89
[-25.25], 1481717735.4
[-25.370000000000005], 1481717735.9
[-25.620000000000005], 1481717736.41
[-25.5], 1481717736.91
[-25.620000000000005], 1481717737.42
[-25.75], 1481717737.92
[-25.620000000000005], 1481717738.43
