Input data of 'lab600LA_2':

Start Time: 2016-12-14 14:07:37
Base: [('0Z', '253.13')]
[0.0], 1481720857.53
[-63.5], 1481720858.53
[-63.879999999999995], 1481720859.04
[-63.75], 1481720859.54
[-63.629999999999995], 1481720860.04
[-63.75], 1481720860.55
[-63.75], 1481720861.05
[-63.5], 1481720861.56
[-63.379999999999995], 1481720862.06
[-63.379999999999995], 1481720862.56
[-63.379999999999995], 1481720863.07
[-63.5], 1481720863.57
[-63.379999999999995], 1481720864.08
[-63.379999999999995], 1481720864.58
[-63.629999999999995], 1481720865.09
[-63.5], 1481720865.59
[-63.5], 1481720866.1
[-63.879999999999995], 1481720866.6
[-63.75], 1481720867.11
[-63.25], 1481720867.61
[-63.25], 1481720868.12
[-63.5], 1481720868.62
[-63.129999999999995], 1481720869.12
[-63.129999999999995], 1481720869.63
[-63.5], 1481720870.13
[-63.5], 1481720870.64
[-63.629999999999995], 1481720871.14
[-63.25], 1481720871.65
[-63.129999999999995], 1481720872.15
[-63.25], 1481720872.66
[-63.379999999999995], 1481720873.66
[-63.25], 1481720875.67
[-63.25], 1481720876.17
[-63.379999999999995], 1481720876.67
[-63.629999999999995], 1481720877.18
[-63.379999999999995], 1481720877.68
[-63.129999999999995], 1481720878.19
[-63.629999999999995], 1481720878.69
[-63.629999999999995], 1481720879.2
[-63.379999999999995], 1481720879.7
[-63.129999999999995], 1481720880.21
[-63.129999999999995], 1481720880.71
[-63.629999999999995], 1481720881.22
[-63.75], 1481720881.72
[-63.5], 1481720882.22
[-63.629999999999995], 1481720882.73
[-64.0], 1481720883.23
[-63.879999999999995], 1481720883.74
[-63.5], 1481720884.24
[-63.5], 1481720884.75
[-63.629999999999995], 1481720885.25
[-63.5], 1481720885.76
[-63.379999999999995], 1481720886.26
[-63.629999999999995], 1481720886.77
[-64.0], 1481720887.27
[-63.75], 1481720887.78
[-63.25], 1481720888.28
[-63.379999999999995], 1481720888.79
[-63.75], 1481720889.29
[-63.75], 1481720889.79
[-63.5], 1481720890.3
[-63.379999999999995], 1481720890.8
[-63.25], 1481720891.31
[-63.129999999999995], 1481720891.81
[-63.379999999999995], 1481720892.32
[-63.379999999999995], 1481720892.82
[-63.5], 1481720893.33
[-63.629999999999995], 1481720893.83
[-63.5], 1481720894.34
[-63.379999999999995], 1481720894.84
[-63.25], 1481720895.35
[-63.75], 1481720895.85
[-64.0], 1481720896.36
[-63.5], 1481720896.86
[-63.25], 1481720897.37
[-63.25], 1481720897.87
[-63.25], 1481720898.38
[-63.75], 1481720898.88
[-63.75], 1481720899.38
[-63.129999999999995], 1481720899.89
[-63.129999999999995], 1481720900.39
[-63.629999999999995], 1481720900.9
[-63.25], 1481720901.4
[-62.879999999999995], 1481720901.91
[-62.879999999999995], 1481720902.41
[-62.879999999999995], 1481720902.91
[-63.0], 1481720903.42
[-63.0], 1481720903.92
[-63.25], 1481720904.43
[-63.5], 1481720904.93
[-63.75], 1481720905.44
[-63.629999999999995], 1481720905.94
[-63.379999999999995], 1481720906.44
[-63.629999999999995], 1481720906.95
[-63.75], 1481720907.45
[-63.629999999999995], 1481720907.96
[-63.5], 1481720908.46
[-63.5], 1481720908.97
[-63.5], 1481720909.47
[-63.629999999999995], 1481720909.97
[-63.629999999999995], 1481720910.48
[-63.0], 1481720910.98
[-63.0], 1481720911.49
[-63.25], 1481720911.99
[-63.129999999999995], 1481720912.5
[-63.25], 1481720913.0
[-63.5], 1481720913.51
[-63.629999999999995], 1481720914.01
[-63.75], 1481720914.51
[-63.5], 1481720915.02
[-63.25], 1481720915.52
[-63.379999999999995], 1481720916.03
[-63.25], 1481720916.53
[-63.25], 1481720917.04
[-63.25], 1481720917.54
[-63.0], 1481720918.04
[-63.0], 1481720918.55
[-63.5], 1481720919.05
[-63.25], 1481720919.56
[-63.0], 1481720920.06
[-63.5], 1481720920.57
[-63.379999999999995], 1481720921.07
[-63.0], 1481720921.57
[-63.5], 1481720922.08
[-63.75], 1481720922.58
[-63.5], 1481720923.09
[-63.629999999999995], 1481720923.59
[-63.25], 1481720924.1
[-63.25], 1481720924.6
[-63.379999999999995], 1481720925.11
[-63.379999999999995], 1481720925.61
[-63.629999999999995], 1481720926.11
[-63.629999999999995], 1481720926.62
[-63.379999999999995], 1481720927.12
[-63.379999999999995], 1481720927.63
[-63.629999999999995], 1481720928.13
[-63.879999999999995], 1481720928.64
[-63.75], 1481720929.14
[-63.5], 1481720929.65
[-63.75], 1481720930.15
[-63.75], 1481720930.66
[-63.629999999999995], 1481720931.16
[-63.75], 1481720931.67
[-63.629999999999995], 1481720932.17
[-63.379999999999995], 1481720932.68
[-63.379999999999995], 1481720933.18
[-63.629999999999995], 1481720933.68
[-63.629999999999995], 1481720934.19
[-63.379999999999995], 1481720934.69
[-63.5], 1481720935.2
[-63.5], 1481720935.7
[-63.379999999999995], 1481720936.21
[-63.379999999999995], 1481720936.71
[-63.379999999999995], 1481720937.22
[-63.25], 1481720937.72
[-63.25], 1481720938.23
[-63.25], 1481720938.73
[-63.25], 1481720939.24
[-63.379999999999995], 1481720939.74
[-63.379999999999995], 1481720940.25
[-63.5], 1481720940.75
[-63.5], 1481720941.26
[-63.379999999999995], 1481720941.76
[-63.379999999999995], 1481720942.26
[-63.5], 1481720942.77
[-63.5], 1481720943.27
[-63.629999999999995], 1481720943.78
[-63.75], 1481720944.28
