[18.75759778372008, 137.28501562392455, 275.30686089578575]
[-1.9798645600484857, 107.82098513895514, 98.0796098583769]
[-1.7433880720378805, 108.15697371538849, 100.10059377677297]
[-1.7891577148786442, 108.09194366833687, 99.70943559901887]
[-1.6480346494529596, 108.29245298007936, 100.91550664709396]
[-1.5030974471238818, 108.49838146240947, 102.15417420998185]
[-1.5030974471238818, 108.49838146240947, 102.15417420998185]
[-1.5030974471238818, 108.49838146240947, 102.15417420998185]
[-1.5030974471238818, 108.49838146240947, 102.15417420998185]
[-1.552681226868039, 108.42793224477022, 101.73041951741494]
[-1.6480346494529596, 108.29245298007936, 100.91550664709396]
[-1.9798645600484857, 107.82098513895514, 98.0796098583769]
[-1.934094917207722, 107.88601518600676, 98.47076803613099]
[-1.9798645600484857, 107.82098513895514, 98.0796098583769]
[-1.6480346494529596, 108.29245298007936, 100.91550664709396]
[-1.6938042922937233, 108.22742293302774, 100.52434846933987]
[-1.5984508697088027, 108.36290219771861, 101.33926133966087]
[-1.7891577148786442, 108.09194366833687, 99.70943559901887]
[-1.8387414946228011, 108.02149445069763, 99.28568090645197]
[-1.8845111374635648, 107.95646440364601, 98.8945227286979]
[-2.0752179826334065, 107.68550587426428, 97.2646969880559]
[-1.7891577148786442, 108.09194366833687, 99.70943559901887]
[-1.552681226868039, 108.42793224477022, 101.73041951741494]
[-1.5984508697088027, 108.36290219771861, 101.33926133966087]
[-1.552681226868039, 108.42793224477022, 101.73041951741494]
[-1.7891577148786442, 108.09194366833687, 99.70943559901887]
[-1.552681226868039, 108.42793224477022, 101.73041951741494]
[-1.5030974471238818, 108.49838146240947, 102.15417420998185]
[-1.5984508697088027, 108.36290219771861, 101.33926133966087]
[-1.552681226868039, 108.42793224477022, 101.73041951741494]
[-1.552681226868039, 108.42793224477022, 101.73041951741494]
[-1.6480346494529596, 108.29245298007936, 100.91550664709396]
[-1.6480346494529596, 108.29245298007936, 100.91550664709396]
[-1.5984508697088027, 108.36290219771861, 101.33926133966087]
[-1.552681226868039, 108.42793224477022, 101.73041951741494]
